X,Y,OBJECTID,NAME_OF_DISTRICT_COUNCIL_DISTRI,LOCATION_EN,ADDRESS_EN,NAME_OF_DISTRICT_COUNCIL_DIST_1,LOCATION_TC,ADDRESS_TC,NAME_OF_DISTRICT_COUNCIL_DIST_2,LOCATION_SC,ADDRESS_SC,STANDARD_BS1363_no,MEDIUM_IEC62196_no,MEDIUM_SAEJ1772_no,MEDIUM_OTHERS_no,QUICK_CHAdeMO_no,QUICK_CCS_DC_COMBO_no,QUICK_IEC62196_no,QUICK_GB_T20234_3_DC__no,QUICK_OTHERS_no,REMARK_FOR__OTHERS_,DATA_PATH
12714180.6467142,2549571.47057995,218,Kwun Tong,The Quayside Car Park,"The Quayside,77 Hoi Bun Road,Kwun Tong,Kowloon,Hong Kong",觀塘區,海濱匯停車場,香港九龍觀塘海濱道77號海濱匯,观塘区,海滨汇停车场,香港九龙观塘海滨道77号海滨汇,312,100,0,0,3,3,0,0,6,-,-
12714192.5578997,2551382.8109818,219,Kwun Tong,Choi Hing Court Car Park,"1 CHOI SING LANE,Ngau Tau Kok,Kowloon",觀塘區,彩興苑停車場,"九龍,牛頭角,彩盛里1號",观塘区,彩兴苑停车场,"九龙,牛头角,彩盛里1号",2,0,0,0,0,0,0,0,0,-,-
12715432.5457077,2549117.4627122,220,Kwun Tong,One Pacific Centre,Kwun Tong Road,觀塘區,1亞太中心,觀塘道,观塘区,1亚太中心,观塘道,0,0,0,52,0,0,0,0,9,Tesla Wall Connector / Supercharger,-
12716770.605987,2546629.24093769,221,Kwun Tong,8 Yan Yue Wai Public Vehicle Park,8 Yan Yue Wai,觀塘區,仁宇圍8號公眾停車場,油塘仁宇圍8號,观塘区,仁宇围8号公众停车场,油塘仁宇围8号,0,18,0,0,0,0,2,0,0,-,-
12717008.4957388,2546651.9797882,222,Kwun Tong,Lei Yue Mun Municipal Services Building,"6 Lei Yue Mun Path, Yau Tong",觀塘區,鯉魚門市政大廈,油塘鯉魚門徑6號,观塘区,鲤鱼门市政大厦,油塘鲤鱼门径6号,0,6,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12715450.8021042,2551068.83291648,223,Kwun Tong,Shun Lee Tsuen Park,Shun Lee Tsuen Park,觀塘區,順利邨公園,順利邨公園,观塘区,顺利邨公园,顺利邨公园,0,4,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12714622.9190511,2550921.89464321,224,Kwun Tong,Choi Fook Estate Car Park,"58 Choi Wing Road, Ngau Tau Kok,Kowloon",觀塘區,彩福邨車場,"九龍,牛頭角,彩榮路58號",观塘区,彩福邨车场,"九龙,牛头角,彩荣路58号",6,0,0,0,0,0,0,0,0,-,-
12713483.0074654,2550858.95587452,225,Kwun Tong,Kowloon Bay Park,"11 Kai Lai Road, Kowloon Bay",觀塘區,九龍灣公園停車場,九龍灣啟禮道11號,观塘区,九龙湾公园停车场,九龙湾启礼道11号,0,11,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12714120.8681477,2551437.20716527,226,Kwun Tong,Ping Shek Playground,"20 New Clear Water Bay Road, Kowloon",觀塘區,坪石遊樂場,九龍新清水灣道20號,观塘区,坪石游乐场,九龙新清水湾道20号,0,10,0,0,0,0,0,0,0,-,https://ev-charger.epd.gov.hk/resource/ev_charger_avail/ev_charger_avail.json
12715456.9246762,2549324.79104841,227,Kwun Tong,Yue Man Square,"33 Hip Wo Street, Kwun Tong, Kowloon",觀塘區,裕民坊,九龍觀塘協和街33號,观塘区,裕民坊,九龙观塘协和街33号,0,45,0,0,2,2,10,0,0,-,-
12714585.9609802,2549378.33824865,228,Kwun Tong,Manulife Place,International Trade Tower,觀塘區,宏利廣場,國際貿易中心,观塘区,宏利广场,国际贸易中心,0,6,0,0,0,2,0,0,0,-,-
12715219.0349243,2549127.32970214,229,Kwun Tong,Eastcore,"95 How Ming St, Kwun Tong",觀塘區,嘉域大廈,觀塘巧明街95號,观塘区,嘉域大厦,观塘巧明街95号,0,0,0,4,0,0,0,0,0,Tesla Wall Connector,-
12717198.7407486,2547065.37504601,230,Kwun Tong,Ko Cheung Court,"LEI YUE MUN ROAD, KWUN TONG",觀塘區,高翔苑,觀塘 鯉魚門道,观塘区,高翔苑,观塘 鲤鱼门道,1,0,0,0,0,0,0,0,0,-,-
